segment_id,acc_total,pred_risk_level,risk_score,risk_pct
37668,0,2,0.6684793146559969,66.8
37669,0,2,0.6671249457867816,66.7
37670,0,2,0.6677181644287581,66.8
37671,0,2,0.668137503361019,66.8
37672,0,2,0.6688644617873555,66.9
37673,0,2,0.6679857044558352,66.8
37674,0,2,0.6693951116952425,66.9
37675,0,2,0.6673795828828588,66.7
37676,0,2,0.6684467632633945,66.8
37677,0,2,0.6213281607876221,62.1
37678,0,2,0.6683770114323124,66.8
37679,0,2,0.6677513790006439,66.8
37680,0,2,0.6672791025290886,66.7
37681,0,2,0.667449596648415,66.7
37682,0,2,0.6679597900947556,66.8
37683,0,2,0.668159790453501,66.8
37684,0,2,0.6692751102770368,66.9
37685,0,2,0.6693564153198773,66.9
37686,0,2,0.6687613791630914,66.9
37687,0,2,0.6688644617873555,66.9
37688,0,2,0.668462359540475,66.8
37689,0,2,0.667452914485087,66.7
37690,0,2,0.6579915974289179,65.8
37691,0,2,0.6682287008346369,66.8
37692,0,2,0.664764422380055,66.5
37693,0,2,0.6630077504863342,66.3
37694,0,2,0.6621750011884918,66.2
37695,0,2,0.6626293864101171,66.3
37696,0,2,0.6489693404485782,64.9
37697,0,2,0.6617977639349798,66.2
37698,0,2,0.6630545249208808,66.3
37699,0,2,0.6660402178919563,66.6
37700,0,2,0.6653385770041496,66.5
37701,0,2,0.6681713017169386,66.8
37702,0,2,0.6677234198432416,66.8
37703,0,2,0.6671174484460304,66.7
37704,0,2,0.6697747374807174,67.0
37705,0,2,0.6704666934674606,67.0
37706,0,2,0.6681010211274648,66.8
37707,0,2,0.6697516769248372,67.0
37708,0,2,0.6687908369349316,66.9
37709,0,2,0.6684467632633945,66.8
37710,0,2,0.668007883670119,66.8
37711,0,2,0.6680330623251697,66.8
37712,0,2,0.6526427262773117,65.3
37713,0,2,0.669011207918326,66.9
37714,0,2,0.6680718464776874,66.8
37715,0,2,0.6682555135339499,66.8
37716,0,2,0.6690795152680948,66.9
37717,0,2,0.6684467632633945,66.8
37718,0,2,0.6688871949057406,66.9
37719,0,2,0.6690334760739157,66.9
37720,0,2,0.6696600692812353,67.0
37721,0,2,0.6684467632633945,66.8
37722,0,2,0.6680289168919747,66.8
37723,0,2,0.667965212642836,66.8
37724,0,2,0.6683805800663928,66.8
37725,0,2,0.6670821829078099,66.7
37726,0,2,0.4024297868212064,40.2
37727,0,2,0.6669001604507988,66.7
37728,0,2,0.6691905019494394,66.9
37729,0,2,0.670084213023074,67.0
37730,0,2,0.6673867173182467,66.7
37731,0,2,0.6673944930856427,66.7
37732,0,2,0.6684467632633945,66.8
37733,0,2,0.6681172070869555,66.8
37734,0,2,0.667153611779213,66.7
37735,0,2,0.6697044251486659,67.0
37736,0,2,0.6688683525038263,66.9
37737,0,2,0.6670352674555033,66.7
37738,0,2,0.6686723875269914,66.9
37739,0,2,0.6675051482549558,66.8
37740,0,2,0.6672977097332478,66.7
37741,0,2,0.6673697845156615,66.7
37742,0,2,0.6674809532317644,66.7
37743,0,2,0.6669850073133906,66.7
37744,0,2,0.6642206286390623,66.4
37745,0,2,0.6670057233034944,66.7
37746,0,2,0.6680365966555352,66.8
37747,0,2,0.6688193453010172,66.9
37748,0,2,0.6671215175107742,66.7
37749,0,2,0.6670195310143754,66.7
37750,0,2,0.6672281639184803,66.7
37751,0,2,0.6681008809246123,66.8
37752,0,2,0.6666440175613388,66.7
37753,0,2,0.6665119340177625,66.7
37754,0,2,0.6664031294252103,66.6
37755,0,2,0.6661961425173407,66.6
37756,0,2,0.6668475274151812,66.7
37757,0,2,0.6687992611744752,66.9
37758,0,2,0.6688761198505139,66.9
37759,0,2,0.6707633404294029,67.1
37760,0,2,0.6699894678701336,67.0
37761,0,2,0.6707346957797805,67.1
37762,0,2,0.6698488957093408,67.0
37763,0,2,0.6651108311489224,66.5
37764,0,2,0.6689233945605034,66.9
37765,0,2,0.6687786186424395,66.9
37766,0,2,0.6668838417778412,66.7
37767,0,2,0.6677234198432416,66.8
37768,0,2,0.6681788030934209,66.8
37769,0,2,0.6695194376710182,67.0
37770,0,2,0.6676610407497113,66.8
37771,0,2,0.6692374148406088,66.9
37772,0,2,0.6689757233252749,66.9
37773,0,2,0.6711349788820371,67.1
37774,0,2,0.669628281185093,67.0
37775,0,2,0.6699894678701336,67.0
37776,0,2,0.6673228441892812,66.7
37777,0,2,0.6676179238517458,66.8
37778,0,2,0.6677904702955857,66.8
37779,0,2,0.6692579133668914,66.9
37780,0,2,0.6699894678701336,67.0
37781,0,2,0.670325476443395,67.0
37782,0,2,0.6701447209731365,67.0
37783,0,2,0.6701447209731365,67.0
